group	fill
1	#000000
2	#000000
3	#000000
4	#000000
5	#FFFFFF
6	#FFFFFF
7	#FFFFFF
8	#FFFFFF
9	#000000
10	#FFFFFF
11	#656565
12	#000000
13	#6D6D6D
14	#BDBDBD
15	#F2F2F2
16	#FFFFFF
17	#FFFFFF
18	#FFFFFF
19	#FFFFFF
20	#2B2B2B
21	#000000
22	#000000
23	#000000
24	#000000
25	#000000
26	#000000
27	#FFFFFF
28	#FFFFFF
29	#FFFFFF
30	#FFFFFF
31	#FFFFFF
32	#000000
33	#000000
34	#000000
35	#363636
36	#A5A5A5
37	#FFFFFF
38	#FFFFFF
39	#9E9E9E
40	#000000
41	#000000
42	#000000
43	#000000
44	#000000
45	#000000
46	#000000
47	#2C2C2C
48	#FFFFFF
49	#FFFFFF
50	#FFFFFF
51	#FFFFFF
52	#FFFFFF
53	#000000
54	#000000
55	#0A0A0A
56	#000000
57	#000000
58	#000000
59	#000000
60	#1F1F1F
61	#000000
62	#000000
63	#000000
64	#000000
65	#000000
66	#000000
67	#000000
68	#FFFFFF
69	#FFFFFF
70	#FFFFFF
71	#FFFFFF
72	#FFFFFF
73	#000000
74	#000000
75	#000000
76	#000000
77	#000000
78	#000000
79	#000000
80	#FFFFFF
81	#000000
82	#000000
83	#000000
84	#000000
85	#000000
86	#000000
87	#000000
88	#000000
89	#FFFFFF
90	#FFFFFF
91	#FFFFFF
92	#FFFFFF
93	#FFFFFF
94	#000000
95	#000000
96	#0A0A0A
97	#000000
98	#000000
99	#FFFFFF
100	#FFFFFF
101	#000000
102	#D1D1D1
103	#FFFFFF
104	#4A4A4A
105	#000000
106	#000000
107	#000000
108	#000000
109	#6D6D6D
110	#FFFFFF
111	#FFFFFF
112	#FFFFFF
113	#FFFFFF
114	#FFFFFF
115	#FFFFFF
116	#FFFFFF
117	#FFFFFF
118	#FFFFFF
119	#FFFFFF
120	#FFFFFF
121	#000000
122	#FFFFFF
123	#FFFFFF
124	#FFFFFF
125	#FFFFFF
126	#000000
127	#000000
128	#000000
129	#000000
130	#FFFFFF
131	#FFFFFF
132	#FFFFFF
133	#FFFFFF
134	#FFFFFF
135	#FFFFFF
136	#FFFFFF
137	#FFFFFF
138	#FFFFFF
139	#B0B0B0
140	#FFFFFF
141	#3F3F3F
142	#FFFFFF
143	#FFFFFF
144	#FFFFFF
145	#FFFFFF
146	#FFFFFF
147	#000000
148	#000000
149	#000000
150	#000000
151	#FFFFFF
152	#FFFFFF
153	#FFFFFF
154	#FFFFFF
155	#FFFFFF
156	#FFFFFF
157	#FFFFFF
158	#FFFFFF
159	#000000
160	#000000
161	#868686
162	#FFFFFF
163	#FFFFFF
164	#FFFFFF
165	#FFFFFF
166	#FFFFFF
167	#FFFFFF
168	#000000
169	#000000
170	#000000
171	#000000
172	#FFFFFF
173	#FFFFFF
174	#FFFFFF
175	#FFFFFF
176	#FFFFFF
177	#FFFFFF
178	#FFFFFF
179	#FFFFFF
180	#0B0B0B
181	#C5C5C5
182	#FFFFFF
183	#FFFFFF
184	#FFFFFF
185	#FFFFFF
186	#FFFFFF
187	#FFFFFF
188	#FFFFFF
189	#000000
190	#000000
191	#000000
192	#FFFFFF
193	#FFFFFF
194	#FFFFFF
195	#FFFFFF
196	#FFFFFF
197	#FFFFFF
198	#FFFFFF
199	#FFFFFF
200	#000000
201	#000000
202	#000000
203	#000000
204	#919191
205	#FFFFFF
206	#FFFFFF
207	#FFFFFF
208	#000000
209	#000000
210	#000000
211	#000000
212	#000000
213	#000000
214	#FFFFFF
215	#FFFFFF
216	#000000
217	#000000
218	#4A4A4A
219	#212121
220	#000000
221	#000000
222	#000000
223	#000000
224	#000000
225	#FFFFFF
226	#FFFFFF
227	#FFFFFF
228	#000000
229	#000000
230	#000000
231	#000000
232	#000000
233	#000000
234	#FFFFFF
235	#000000
236	#000000
237	#000000
238	#000000
239	#3B3B3B
240	#000000
241	#000000
242	#000000
243	#FFFFFF
244	#FFFFFF
245	#FFFFFF
246	#FFFFFF
247	#FFFFFF
248	#FBFBFB
249	#000000
250	#000000
251	#000000
252	#000000
253	#000000
254	#000000
255	#000000
256	#000000
257	#000000
258	#000000
259	#363636
260	#000000
261	#FFFFFF
262	#FFFFFF
263	#FFFFFF
264	#FFFFFF
265	#FFFFFF
266	#FFFFFF
267	#FFFFFF
268	#FFFFFF
269	#FFFFFF
270	#505050
271	#000000
272	#3D3D3D
273	#000000
274	#000000
275	#000000
276	#000000
277	#000000
278	#000000
279	#000000
280	#575757
281	#FFFFFF
282	#FFFFFF
283	#FFFFFF
284	#FFFFFF
285	#FFFFFF
286	#FFFFFF
287	#FFFFFF
288	#FFFFFF
289	#FFFFFF
290	#FFFFFF
291	#FFFFFF
292	#000000
293	#FFFFFF
294	#FFFFFF
295	#000000
296	#000000
297	#000000
298	#000000
299	#000000
300	#FFFFFF
301	#FFFFFF
302	#FFFFFF
303	#FFFFFF
